,tmdb_id,genre1,genre2,genre3
225,10528.0,Action,Adventure,Crime
226,62211.0,Animation,Family,
227,41154.0,Action,Comedy,Science Fiction
228,157350.0,Action,Adventure,Science Fiction
229,579245.0,Comedy,Drama,
230,127585.0,Action,Adventure,Fantasy
231,490132.0,Drama,Comedy,
232,430424.0,Drama,Crime,War
233,430424.0,Drama,Crime,War
234,102651.0,Fantasy,Adventure,Action
235,399579.0,Action,Science Fiction,Adventure
236,332562.0,Drama,Romance,Music
237,451500.0,Comedy,,
238,76170.0,Action,Science Fiction,Adventure
239,612368.0,Drama,,
240,284052.0,Action,Adventure,Fantasy
241,126125.0,Not found,,
242,431580.0,Family,Animation,Adventure
243,58595.0,Adventure,Fantasy,Drama
244,578489.0,,,
245,62213.0,Comedy,Fantasy,
246,277839.0,Comedy,,
247,375798.0,Comedy,,
248,97365.0,Drama,Romance,
249,109439.0,Comedy,,
250,252607.0,Comedy,,
251,271110.0,Adventure,Action,Science Fiction
252,210577.0,Mystery,Thriller,Drama
253,87101.0,Science Fiction,Action,Thriller
254,121856.0,Action,Adventure,Science Fiction
255,346648.0,Adventure,Comedy,Family
256,139156.0,Comedy,,
257,446894.0,Family,Animation,Adventure
258,70981.0,Science Fiction,Adventure,Mystery
259,248705.0,Comedy,,
260,342473.0,Animation,Adventure,Comedy
261,47964.0,Action,Thriller,
262,172106.0,Drama,,
263,587301.0,Drama,Comedy,
264,66118.0,Comedy,,
265,167613.0,Not found,,
266,41513.0,Animation,Family,Adventure
267,219318.0,Comedy,,
268,98566.0,Science Fiction,Action,Adventure
269,98566.0,Science Fiction,Action,Adventure
270,381288.0,Horror,Thriller,
271,102899.0,Science Fiction,Action,Adventure
272,480530.0,Drama,,
273,70160.0,Science Fiction,Adventure,Fantasy
274,77459.0,Adventure,Animation,Comedy
275,10195.0,Adventure,Fantasy,Action
276,177572.0,Adventure,Family,Animation
277,469274.0,Adventure,Comedy,
278,447404.0,Action,Adventure,Fantasy
279,151960.0,Animation,Family,Adventure
280,151960.0,Animation,Family,Adventure
281,207703.0,Crime,Comedy,Action
282,207703.0,Crime,Comedy,Action
283,82690.0,Family,Animation,Comedy
284,126125.0,Not found,,
285,183836.0,Comedy,,
286,487476.0,Drama,Comedy,
287,245775.0,Drama,,
288,245775.0,Drama,,
289,35552.0,Fantasy,Adventure,Action
290,250349.0,Comedy,,
291,68728.0,Fantasy,Adventure,Family
292,64690.0,Drama,Thriller,Crime
293,399121.0,History,Drama,Thriller
294,484468.0,Thriller,Action,
295,250546.0,Horror,,
296,206408.0,Comedy,Drama,Romance
297,400650.0,Fantasy,Family,Comedy
298,197950.0,Action,Crime,Thriller
299,68724.0,Science Fiction,Action,Drama
300,323020.0,Comedy,,
301,375950.0,Drama,Comedy,
302,37686.0,Thriller,Science Fiction,Mystery
303,474350.0,Horror,Fantasy,
304,37799.0,Drama,,
305,157350.0,Action,Adventure,Science Fiction
306,324668.0,Action,Thriller,
307,35025.0,Comedy,,
308,27576.0,Action,Mystery,Thriller
309,120467.0,Comedy,Drama,
310,120467.0,Comedy,Drama,
311,75258.0,Animation,Family,Fantasy
312,138843.0,Horror,Thriller,
313,140870.0,Animation,Adventure,Family
