,global_rank,title,id,release_date,day,month,year,max_theaters_used,first_day_sales,first_weekend_sales,first_week_sales,total_sales,viewers_by_theaters,Unnamed: 0,tmdb_id,budget,imdb_id,original_language,original_title,tmdb_popularity,runtime,tagline,tmdb_vote_count,tmdb_vote_average,cast1,cast1_popularity,cast2,cast2_popularity,cast3,cast3_popularity
70,69,Astérix - Le Secret de la Potion Magique,18562,2018-12-05,5,12,2018,860,253129.0,860609.0,928153,3923364,4562.0,3934.0,527729.0,0.0,tt8001346,fr,Astérix - Le Secret de la Potion Magique,20.806,85.0,Gardez ça pour vous.,973.0,6.9,Christian Clavier,6.732,Guillaume Briat,1.111,Alex Lutz,2.278
71,70,The Revenant,15065,2016-02-24,24,2,2016,705,213954.0,1112798.0,1409177,3846911,5456.0,2535.0,281957.0,135000000.0,tt1663202,en,The Revenant,66.981,157.0,"Laissé pour mort, habité par la vengeance",15697.0,7.5,Leonardo DiCaprio,24.194,Tom Hardy,38.545,Domhnall Gleeson,16.782
72,71,La Princesse et la grenouille,10357,2010-01-27,27,1,2010,697,143954.0,819261.0,876083,3843786,5514.0,2710.0,10198.0,105000000.0,tt0780521,en,The Princess and the Frog,120.293,97.0,,4390.0,7.1,Anika Noni Rose,10.586,Bruno Campos,3.794,Keith David,11.331
73,72,Fast & Furious 8,15184,2017-04-12,12,4,2017,713,312235.0,1410345.0,1861108,3838447,5383.0,,,,,,,,,,,,,,,,,
74,73,Astérix et Obélix: Au service de sa Majesté,12104,2012-10-17,17,10,2012,794,120856.0,1027310.0,1132279,3820404,4811.0,,,,,,,,,,,,,,,,,
75,74,L'Arnacoeur,11169,2010-03-17,17,3,2010,443,89296.0,780379.0,1167598,3798089,8573.0,,,,,,,,,,,,,,,,,
76,75,Le Chat Potté,11833,2011-11-30,30,11,2011,671,274565.0,1002077.0,1089789,3794833,5655.0,,,,,,,,,,,,,,,,,
77,76,La Planète des singes : l'affrontement,13410,2014-07-30,30,7,2014,661,412565.0,1402030.0,1746921,3783833,5724.0,,,,,,,,,,,,,,,,,
78,77,Deadpool,15600,2016-02-10,10,2,2016,563,285711.0,1284278.0,1575661,3763671,6685.0,2534.0,293660.0,58000000.0,tt1431045,en,Deadpool,220.616,109.0,Vous allez prendre votre pied !,26593.0,7.6,Ryan Reynolds,45.282,Morena Baccarin,31.988,Ed Skrein,20.642
79,78,Comme des bêtes,15557,2016-07-27,27,7,2016,722,210227.0,821269.0,1093363,3745575,5187.0,,,,,,,,,,,,,,,,,
80,79,Le Livre de la jungle (2016),14882,2016-04-13,13,4,2016,715,277612.0,1089589.0,1302847,3720327,5203.0,,,,,,,,,,,,,,,,,
81,80,Black Panther,17130,2018-02-14,14,2,2018,611,178202.0,850647.0,1058869,3688070,6036.0,3933.0,284054.0,200000000.0,tt1825683,en,Black Panther,121.859,134.0,Longue vie au roi.,18916.0,7.4,Chadwick Boseman,13.756,Michael B. Jordan,18.016,Lupita Nyong'o,12.018
82,81,Pirates des Caraïbes : La Vengeance de Salazar,15285,2017-05-24,24,5,2017,846,302336.0,1175993.0,1346594,3676016,4345.0,2732.0,166426.0,230000000.0,tt1790809,en,Pirates of the Caribbean: Dead Men Tell No Tales,161.956,129.0,Tous les pirates doivent mourrir,10057.0,6.6,Johnny Depp,42.666,Javier Bardem,25.437,Geoffrey Rush,6.974
83,82,Taxi 5,17552,2018-04-11,11,4,2018,800,331213.0,1271392.0,1524218,3653933,4567.0,3932.0,434355.0,24625000.0,tt7238392,fr,Taxi 5,19.262,102.0,La relève,840.0,5.6,Franck Gastambide,8.018,Malik Bentalha,4.244,Bernard Farcy,2.515
84,83,Jurassic World: Fallen Kingdom,17223,2018-06-06,6,6,2018,903,272170.0,1206692.0,1396911,3642158,4033.0,,,,,,,,,,,,,,,,,
85,84,Twilight - Chapitre 4 : révélation,11378,2011-11-16,16,11,2011,964,466063.0,1809216.0,2018771,3638210,3774.0,,,,,,,,,,,,,,,,,
86,85,Alibi.com,16627,2017-02-15,15,2,2017,773,182009.0,870317.0,1124383,3581581,4633.0,2731.0,398929.0,7546570.0,tt5657028,fr,Alibi.com,12.623,86.0,Détendez-vous... On s'occupe de tout !,1408.0,6.5,Philippe Lacheau,8.449,Élodie Fontan,4.931,Julien Arruti,6.487
87,86,La Belle et la Bête (2017),16412,2017-03-22,22,3,2017,810,268578.0,1143246.0,1281588,3568384,4405.0,,,,,,,,,,,,,,,,,
88,87,Tous en scène,16379,2017-01-25,25,1,2017,795,166901.0,755876.0,805197,3526954,4436.0,,,,,,,,,,,,,,,,,
89,88,L'Age de glace : les lois de l'Univers,15432,2016-07-13,13,7,2016,761,354032.0,1014570.0,1232859,3500084,4599.0,,,,,,,,,,,,,,,,,
90,89,Les Profs 2,14990,2015-07-01,1,7,2015,798,311616.0,914863.0,1180383,3494244,4378.0,2561.0,325844.0,0.0,tt3713944,fr,Les Profs 2,10.428,92.0,Ils come bac(k),830.0,5.4,Kev Adams,6.106,Isabelle Nanty,7.466,Didier Bourdon,4.59
91,89,Les Profs 2,14990,2015-07-01,1,7,2015,798,311616.0,914863.0,1180383,3494244,4378.0,2624.0,325844.0,0.0,tt3713944,fr,Les Profs 2,10.428,92.0,Ils come bac(k),830.0,5.4,Kev Adams,6.106,Isabelle Nanty,7.466,Didier Bourdon,4.59
92,90,Le Monde de Dory,13617,2016-06-22,22,6,2016,750,194912.0,715264.0,1003479,3437858,4583.0,2530.0,127380.0,200000000.0,tt2277860,en,Finding Dory,62.435,98.0,Un voyage incroyable dont elle ne se souviendra probablement pas.,10525.0,7.0,Albert Brooks,12.233,Ellen DeGeneres,8.364,Ed O'Neill,13.549
93,91,Dragons 2,13673,2014-07-02,2,7,2014,699,427234.0,1042164.0,1340940,3376525,4830.0,,,,,,,,,,,,,,,,,
94,92,Jumanji : Bienvenue dans la jungle,16472,2017-12-20,20,12,2017,617,102547.0,395518.0,623931,3376160,5471.0,2728.0,353486.0,90000000.0,tt2283362,en,Jumanji: Welcome to the Jungle,68.529,119.0,Le jeu a changé.,11622.0,6.8,Dwayne Johnson,27.81,Jack Black,26.158,Kevin Hart,13.733
95,93,Captain Marvel,18563,2019-03-06,6,3,2019,611,212199.0,1125726.0,1254628,3374568,5523.0,3506.0,299537.0,152000000.0,tt4154664,en,Captain Marvel,118.296,123.0,Notre monde aura besoin d'elle.,12934.0,6.9,Brie Larson,14.67,Samuel L. Jackson,28.847,Ben Mendelsohn,16.945
96,94,Dragons 3 : Le monde caché,18167,2019-02-06,6,2,2019,744,300542.0,1020715.0,1224811,3367445,4526.0,,,,,,,,,,,,,,,,,
97,95,Madagascar 3 Bons Baisers D’Europe,11365,2012-06-06,6,6,2012,827,228555.0,1036999.0,1087767,3343533,4042.0,,,,,,,,,,,,,,,,,
98,96,Le Prénom,12646,2012-04-25,25,4,2012,705,161769.0,716675.0,1086313,3340610,4738.0,2650.0,112198.0,0.0,tt2179121,fr,Le Prénom,7.708,109.0,Un enfant c'est le début du bonheur. Un prénom c'est le début des emmerdes.,1364.0,7.3,Patrick Bruel,2.647,Valérie Benguigui,1.939,Charles Berling,1.555
99,97,X-Men: Days of Future Past,13038,2014-05-21,21,5,2014,620,248522.0,1017549.0,1223166,3289100,5305.0,,,,,,,,,,,,,,,,,
100,98,Aquaman,17551,2018-12-19,19,12,2018,607,150003.0,766003.0,940003,3271826,5390.0,3930.0,297802.0,160000000.0,tt1477834,en,Aquaman,92.535,143.0,"Plus qu'un roi, un héros.",11631.0,6.9,Jason Momoa,36.784,Amber Heard,22.16,Willem Dafoe,33.036
101,99,Rio 2,13666,2014-04-09,9,4,2014,797,173654.0,556792.0,668971,3261547,4092.0,2592.0,172385.0,103000000.0,tt2357291,en,Rio 2,90.601,102.0,Bienvenue dans la Jungle !,2814.0,6.5,Jesse Eisenberg,26.416,Anne Hathaway,35.053,Leslie Mann,28.458
102,100,Jumanji: next level,18258,2019-12-04,4,12,2019,676,103369.0,713189.0,785636,3255668,4816.0,,,,,,,,,,,,,,,,,
103,101,La Planète des singes: les origines,11380,2011-08-10,10,8,2011,702,281904.0,982653.0,1321648,3240118,4615.0,,,,,,,,,,,,,,,,,
104,102,Demain tout commence,16444,2016-12-07,7,12,2016,808,111329.0,517168.0,626789,3237948,4007.0,2350.0,382591.0,0.0,tt5078204,fr,Demain tout commence,24.226,115.0,,2687.0,7.8,Omar Sy,11.612,Gloria Colston,5.123,Clémence Poésy,10.585
105,102,Demain tout commence,16444,2016-12-07,7,12,2016,808,111329.0,517168.0,626789,3237948,4007.0,2529.0,382591.0,0.0,tt5078204,fr,Demain tout commence,24.226,115.0,,2687.0,7.8,Omar Sy,11.612,Gloria Colston,5.123,Clémence Poésy,10.585
106,103,Rebelle,12286,2012-08-01,1,8,2012,799,170310.0,721313.0,955285,3233520,4046.0,2649.0,98205.0,0.0,tt1820488,fr,Rebelle,8.715,90.0,Le subsahara revu et corrigé,75.0,6.5,Rachel Mwanza,2.511,Alain Lino Mic Eli Bastien,0.694,Serge Kanyinda,1.38
107,104,Les Gardiens de la Galaxie 2,14853,2017-04-26,26,4,2017,715,232682.0,1047682.0,1401339,3232533,4521.0,,,,,,,,,,,,,,,,,
108,105,Hunger Games - La Révolte : Partie 1,12882,2014-11-19,19,11,2014,838,255393.0,1366380.0,1538201,3228348,3852.0,,,,,,,,,,,,,,,,,
109,106,Spider-Man: Far from Home,18243,2019-07-03,3,7,2019,833,453503.0,1109050.0,1370178,3226105,3872.0,,,,,,,,,,,,,,,,,
