,tmdb_id,budget,imdb_id,original_language,original_title,tmdb_popularity,runtime,tagline,title,tmdb_vote_count,tmdb_vote_average,cast1,cast1_popularity,cast2,cast2_popularity,cast3,cast3_popularity
57,554022.0,0.0,tt8829128,nl,Torpedo,9.769,102.0,Le sous-marin qui a changé le cours de l'histoire,U-235,121.0,6.5,Koen De Bouw,4.753,Sven de Ridder,2.188,Vic de Wachter,3.844
58,144752.0,0.0,tt2370034,fr,Tango Libre,3.249,105.0,,Tango Libre,16.0,5.7,François Damiens,3.061,Sergi López,5.942,Jan Hammenecker,3.457
59,150540.0,175000000.0,tt2096673,en,Inside Out,132.865,94.0,Faites connaissance avec vos émotions,Vice-versa,17724.0,7.9,Amy Poehler,9.485,Phyllis Smith,9.187,Bill Hader,15.043
60,98232.0,0.0,tt2042432,zh,我11,2.539,110.0,,11 fleurs,16.0,6.8,Liu Wenqing,0.6,Yan Ni,2.531,Shini Mo,0.6
61,75229.0,0.0,tt1595833,no,Babycall,6.108,93.0,,Babycall,112.0,5.4,Noomi Rapace,34.043,Vetle Qvenild Werring,2.808,Kristoffer Joner,8.52
62,123506.0,0.0,tt1435990,fr,Cendrillon au Far West,4.338,81.0,,Cendrillon au Far West,11.0,5.6,Alexandra Lamy,5.223,Yolande Moreau,4.664,Michel Boujenah,0.742
63,80591.0,15000000.0,tt1536048,en,W.E.,10.524,119.0,Wallis & Edouard,W.E.,163.0,6.1,Abbie Cornish,12.552,Andrea Riseborough,16.933,James D'Arcy,15.991
64,74725.0,500000.0,tt1788391,en,Kill List,9.377,90.0,,Kill List,569.0,6.2,Neil Maskell,7.83,MyAnna Buring,16.366,Harry Simpson,0.6
65,84188.0,270000.0,tt1971352,en,Compliance,19.56,90.0,Certaines personnes sont faites pour obéir.,Compliance,523.0,6.4,Ann Dowd,9.687,Dreama Walker,10.664,Pat Healy,5.396
66,81167.0,0.0,tt1895299,en,Woody Allen: A Documentary,9.98,113.0,,Woody Allen: A Documentary,135.0,6.9,Woody Allen,8.854,Diane Keaton,13.804,Scarlett Johansson,39.263
67,386827.0,0.0,tt2259122,en,Love Is All You Need?,7.016,122.0,,Love Is All You Need?,30.0,6.2,Tate Birchmore,3.763,Briana Evigan,12.163,Jacob Rodier,2.226
68,,,,,,,,,,,,,,,,,
69,137372.0,0.0,tt2130125,fr,Comme un homme,1.372,95.0,,Comme un homme,7.0,5.2,Charles Berling,1.555,Émile Berling,1.694,Sarah Stern,8.515
70,96888.0,0.0,tt1978447,he,השוטר,1.334,105.0,,Le policier,20.0,6.1,Yiftach Klein,0.766,Ben Adam,0.6,Michael Aloni,5.877
